iso_code,country,vaxspending1998,vaxspending1999,vaxspending2000,vaxspending2001,vaxspending2002,vaxspending2003,vaxspending2004,vaxspending2005,vaxspending2006,vaxspending2007,vaxspending2008,vaxspending2009,vaxspending2010,vaxspending2011,vaxspending2012,vaxspending2013,vaxspending2014
SGP,Singapore,60%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SVK,Slovakia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%
SVN,Slovenia,100%,100%,100%,100%,100%,100%,100%,100%,70%,60%,70%,70%,,70%,70%,70%,70%
SLB,Solomon Islands,6%,100%,0%,0%,0%,0%,0%,0%,,0%,25%,63%,45%,47%,46%,54%,64%
SOM,Somalia,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,,0%
ZAF,South Africa,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SSD,South Sudan,,,,,,,,,,,,,,0%,0%,,
ESP,Spain,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
LKA,Sri Lanka,100%,100%,100%,100%,100%,53%,69%,75%,68%,31%,90%,100%,57%,39%,40%,41%,94%
SDN,Sudan,10%,0%,0%,0%,5%,25%,0%,0%,0%,0%,0%,3%,6%,2%,6%,5%,7%
SUR,Suriname,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SWZ,Swaziland,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%
SWE,Sweden,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
CHE,Switzerland,5%,5%,100%,100%,100%,100%,100%,100%,5%,5%,5%,5%,0%,0%,0%,0%,
SYR,Syria,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
TJK,Tajikistan,0%,0%,5%,5%,5%,5%,5%,5%,5%,10%,13%,17%,18%,18%,16%,25%,26%
THA,Thailand,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,95%,100%,100%,100%,100%
TZA,Tanzania,10%,10%,10%,10%,10%,46%,23%,62%,83%,75%,93%,21%,18%,23%,25%,7%,6%
TLS,Timor-Leste,0%,0%,0%,0%,0%,15%,0%,0%,0%,,,100%,90%,100%,26%,76%,81%
TGO,Togo,80%,0%,0%,0%,0%,8%,40%,100%,100%,97%,15%,10%,8%,25%,25%,42%,30%
TON,Tonga,100%,100%,100%,100%,100%,100%,100%,100%,75%,56%,80%,95%,90%,100%,100%,100%,100%
TTO,Trinidad and Tobago,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
TUN,Tunisia,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
TUR,Turkey,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
TKM,Turkmenistan,36%,60%,60%,50%,50%,60%,67%,79%,100%,77%,100%,100%,100%,100%,100%,100%,100%
TUV,Tuvalu,25%,25%,50%,100%,100%,100%,100%,100%,10%,10%,10%,20%,20%,20%,20%,,
UGA,Uganda,50%,8%,70%,75%,80%,16%,7%,9%,8%,15%,23%,13%,36%,19%,,16%,15%
UKR,Ukraine,1%,2%,40%,60%,85%,85%,85%,85%,99%,100%,100%,100%,100%,100%,100%,100%,100%
ARE,United Arab Emirates,100%,95%,100%,100%,100%,100%,100%,100%,,,100%,,,,,,
GBR,United Kingdom,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
USA,United States of America,55%,55%,55%,52%,56%,56%,,,,,,,,,,,
URY,Uruguay,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
UZB,Uzbekistan,42%,50%,50%,60%,70%,67%,74%,74%,64%,64%,55%,58%,,,41%,49%,66%
VUT,Vanatu,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,16%,80%,61%,47%
VEN,Venezuela,98%,100%,100%,100%,100%,99%,100%,100%,,100%,100%,100%,100%,100%,100%,100%,100%
VNM,Vietnam,73%,75%,75%,70%,60%,65%,70%,70%,80%,87%,88%,80%,28%,30%,34%,43%,43%
YEM,Yemen,38%,38%,38%,38%,38%,75%,100%,13%,100%,31%,18%,35%,20%,14%,15%,16%,21%
ZMB,Zambia,0%,0%,0%,0%,0%,0%,10%,10%,85%,24%,73%,95%,19%,29%,29%,29%,13%
ZWE,Zimbabwe,100%,100%,100%,100%,100%,22%,0%,1%,0%,0%,0%,0%,0%,0%,,5%,6%
,,,,,,,,,,,,,,,,,,
WHO estimates in italics,,,,,,,,,,,,,,,,,,
