iso_code,year,rateofoutofschoolM
DOM,2008,15.5647
DOM,2009,1.09968
DOM,2010,5.3262
DOM,2011,7.63433
DOM,2012,9.73961
DOM,2013,11.30432
DOM,2014,13.76641
EST,1995,12.03888
EST,1996,8.71938
EST,1999,1.64089
EST,2000,1.99131
EST,2001,2.11745
EST,2003,3.52981
EST,2004,4.50307
EST,2005,4.27049
EST,2006,4.40041
EST,2007,3.41698
EST,2008,3.62549
EST,2009,3.51067
EST,2010,0.4316
EST,2011,0.47905
EST,2012,0.50719
EST,2013,0.3296
TCD,1975,65.04632
TCD,1977,64.3699
TCD,1988,53.91617
TCD,1997,45.41045
TCD,1998,39.7822
TCD,1999,38.71288
TCD,2000,37.81509
TCD,2001,37.12578
TCD,2002,33.13062
TCD,2003,31.91824
TCD,2011,28.92254
TCD,2013,5.29227
IDN,1971,24.98444
IDN,1972,23.83565
IDN,1974,21.99013
IDN,1975,21.98863
IDN,1976,19.36835
IDN,1978,10.05899
IDN,1981,5.34285
IDN,1987,0.45504
IDN,1989,0.46205
IDN,1990,2.24226
IDN,1991,3.20703
IDN,1992,3.88764
IDN,1993,5.19526
IDN,1994,4.47128
IDN,1995,4.50231
IDN,1996,6.21837
IDN,1997,6.25052
IDN,2001,3.14043
IDN,2002,4.13651
IDN,2003,4.33697
IDN,2004,9.5307
IDN,2005,5.57478
IDN,2006,4.27722
IDN,2007,1.58786
IDN,2008,3.36699
IDN,2009,2.57077
IDN,2010,3.55234
IDN,2011,5.53508
IDN,2012,5.05185
IDN,2013,7.16507
BLR,1995,10.37847
BLR,2009,7.76007
BLR,2010,8.52024
BLR,2011,8.93767
BLR,2012,5.84931
BLR,2013,7.66799
BLR,2014,6.01957
COG,1972,10.0226
COG,1974,3.69922
COG,1976,2.39375
COG,1978,0.11305
COG,1979,0.12678
COG,1980,9.9567
COG,1981,11.05633
COG,1982,10.73019
COG,1983,10.76797
COG,1984,9.07554
COG,2005,51.29017
COG,2006,40.04457
COG,2010,8.96426
COG,2012,11.01835
CHE,1977,25.28301
CHE,1978,24.72086
CHE,1981,23.41537
CHE,1982,23.37762
CHE,1983,23.91925
CHE,1984,24.54646
CHE,1985,24.51865
CHE,1986,24.06647
CHE,1987,22.98201
