GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH6,PUBLISHED,2008,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EUR,ARM,YEARS0-4,BTSX,,0,0.00045,,,
MORT_300,CH6,PUBLISHED,2002,EUR,ARM,YEARS0-4,BTSX,,0.1,0.07139,,,
MORT_300,CH6,PUBLISHED,2005,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.16475,,,
MORT_300,CH6,PUBLISHED,2001,EUR,ARM,YEARS0-4,BTSX,,0.1,0.07261,,,
MORT_300,CH6,PUBLISHED,2004,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.15526,,,
MORT_300,CH6,PUBLISHED,2006,EUR,ARM,MONTHS1-59,BTSX,,0.2,0.1648,,,
MORT_300,CH6,PUBLISHED,2007,EUR,ARM,YEARS0-4,BTSX,,0.1,0.06798,,,
MORT_300,CH6,PUBLISHED,2000,EUR,ARM,YEARS0-4,BTSX,,0.1,0.0728,,,
MORT_300,CH6,PUBLISHED,2013,EUR,ARM,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EUR,ARM,DAYS0-27,BTSX,,0,0,,,
