iso_code,year,rateofoutofschoolMF
GRC,1986,0.59486
GRC,1987,2.9424
GRC,1988,2.77304
GRC,1989,3.95218
GRC,1990,4.58035
GRC,1991,4.65023
GRC,1992,6.16924
GRC,1993,8.12202
GRC,1994,9.16696
GRC,1995,8.63884
GRC,1996,10.32529
GRC,1997,10.37659
GRC,1998,3.88523
GRC,1999,3.42186
GRC,2000,1.92523
GRC,2001,2.66523
GRC,2002,2.11447
GRC,2003,1.83355
GRC,2004,1.95298
GRC,2005,2.82953
GRC,2006,3.07679
GRC,2007,2.5882
GRC,2010,1.47689
GRC,2011,2.02176
GRC,2012,2.14192
GRC,2013,2.82853
UKR,2002,3.83873
UKR,2003,10.68153
UKR,2004,10.9973
UKR,2005,10.48878
UKR,2006,11.29262
UKR,2007,11.62827
UKR,2008,11.30382
UKR,2009,9.76235
UKR,2010,5.58767
UKR,2011,1.48552
UKR,2012,0.91736
UKR,2013,0.97978
UKR,2014,3.4821
MAC,1990,15.36119
MAC,1992,11.81216
CAN,1982,4.35676
CAN,1983,4.6257
CAN,1984,5.18936
CAN,1985,5.33738
CAN,1986,5.02064
CAN,1987,4.95764
CAN,1988,4.96151
CAN,1989,4.72529
CAN,1990,4.72395
CAN,1991,2.17154
CAN,1992,2.42862
CAN,1993,4.05618
CAN,1994,4.61172
CAN,1995,5.73922
CAN,1996,4.81115
CAN,1998,1.49252
CAN,1999,0.21743
CAN,2000,0.07795
CAN,2012,0.52252
VNM,1977,2.66317
VNM,1978,9.49899
VNM,1981,6.15108
VNM,1985,8.85478
VNM,1998,0.87023
VNM,1999,1.65076
VNM,2000,2.63928
VNM,2001,3.93261
VNM,2002,6.93698
VNM,2005,9.77566
VNM,2006,8.12228
VNM,2008,2.72592
VNM,2009,1.49243
VNM,2010,1.86119
VNM,2011,0.59912
VNM,2012,1.79844
VNM,2013,1.89447
KEN,1999,37.11222
KEN,2000,33.96746
KEN,2001,32.45592
KEN,2002,37.31794
KEN,2003,24.83966
KEN,2004,25.68532
KEN,2005,23.90227
KEN,2006,23.99481
KEN,2007,12.90816
KEN,2008,17.10912
KEN,2009,15.9938
KEN,2012,13.78592
SLV,1970,35.10941
SLV,1998,17.52485
SLV,2000,7.57891
SLV,2001,6.56465
SLV,2002,4.26573
SLV,2003,3.72648
SLV,2005,3.43938
SLV,2006,3.50141
SLV,2007,4.16166
SLV,2008,4.044
SLV,2009,4.00102
SLV,2010,3.87198
SLV,2011,4.14631
SLV,2012,4.29486
SLV,2013,4.2304
PAN,1970,25.64969
PAN,1971,17.52376
PAN,1972,14.95028
PAN,1973,12.87824
PAN,1975,11.17032
PAN,1976,11.4945
PAN,1978,9.38113
PAN,1979,10.81089
PAN,1980,11.86438
PAN,1981,13.20163
PAN,1982,14.17373
PAN,1983,15.31116
PAN,1984,15.53719
PAN,1985,14.96001
PAN,1986,14.98819
PAN,1987,14.20485
PAN,1988,15.03638
PAN,1989,13.57332
PAN,1990,13.38016
PAN,1999,6.63654
PAN,2000,4.76809
PAN,2001,3.3668
PAN,2002,1.18027
PAN,2004,1.40488
PAN,2005,1.77114
PAN,2006,1.24664
PAN,2007,1.31616
PAN,2008,1.88013
PAN,2009,4.36457
PAN,2010,2.0094
PAN,2011,2.55213
PAN,2012,2.55782
PAN,2013,3.4593
ATG,2007,8.17854
ATG,2008,7.12086
ATG,2009,7.63971
ATG,2010,10.521
ATG,2011,12.45595
ATG,2012,14.02884
ATG,2014,14.16706
LBN,1974,2.13838
LBN,1997,15.80569
LBN,1998,0.20538
LBN,2002,1.43032
LBN,2003,2.29329
LBN,2004,4.10503
LBN,2005,8.32066
LBN,2006,11.15128
LBN,2007,10.22134
LBN,2008,9.37725
LBN,2009,8.16688
LBN,2010,6.6401
LBN,2011,6.67153
LBN,2012,9.79594
LBN,2013,11.10859
COD,1971,30.68146
COD,1972,32.43566
COD,1975,29.77585
COD,1979,26.80086
COD,1983,24.31603
COD,1984,23.66783
COD,1988,35.55018
COD,1991,39.31158
COD,1992,41.20937
COD,1993,42.45708
COD,1994,41.51498
COD,1995,33.96919
COD,1999,64.63001
NGA,1999,37.09002
NGA,2000,34.04294
NGA,2004,32.35724
NGA,2005,31.92492
