year,region,code,AGEGROUP,SEX,Display Value,Numeric
2005,AMR,CAN,DAYS0-27,BTSX,0.2,0.15528
2004,AMR,CAN,DAYS0-27,BTSX,0.2,0.16
2008,AMR,CAN,DAYS0-27,BTSX,0.1,0.14631
2001,AMR,CAN,DAYS0-27,BTSX,0.2,0.16556
2007,AMR,CAN,DAYS0-27,BTSX,0.1,0.14631
2009,AMR,CAN,DAYS0-27,BTSX,0.1,0.14286
2002,AMR,CAN,DAYS0-27,BTSX,0.2,0.1642
2011,AMR,CAN,DAYS0-27,BTSX,0.1,0.14684
2010,AMR,CAN,DAYS0-27,BTSX,0.1,0.1444
2003,AMR,CAN,DAYS0-27,BTSX,0.2,0.16474
2006,AMR,CAN,DAYS0-27,BTSX,0.2,0.15072
2000,AMR,CAN,DAYS0-27,BTSX,0.2,0.1638
2011,EUR,CHE,DAYS0-27,BTSX,0,0
2005,EUR,CHE,DAYS0-27,BTSX,0,0
2010,EUR,CHE,DAYS0-27,BTSX,0,0
2003,EUR,CHE,DAYS0-27,BTSX,0,0
2009,EUR,CHE,DAYS0-27,BTSX,0,0
2007,EUR,CHE,DAYS0-27,BTSX,0,0
2006,EUR,CHE,DAYS0-27,BTSX,0,0
2013,EUR,CHE,DAYS0-27,BTSX,0,0
2001,EUR,CHE,DAYS0-27,BTSX,0,0
2002,EUR,CHE,DAYS0-27,BTSX,0,0
2000,EUR,CHE,DAYS0-27,BTSX,0,0
2004,EUR,CHE,DAYS0-27,BTSX,0,0
2012,EUR,CHE,DAYS0-27,BTSX,0,0
2008,EUR,CHE,DAYS0-27,BTSX,0,0
2003,AMR,CHL,DAYS0-27,BTSX,0.2,0.16778
2009,AMR,CHL,DAYS0-27,BTSX,0,0
2008,AMR,CHL,DAYS0-27,BTSX,0,0
2007,AMR,CHL,DAYS0-27,BTSX,0,0
2002,AMR,CHL,DAYS0-27,BTSX,0.2,0.16043
2012,AMR,CHL,DAYS0-27,BTSX,0,0
2000,AMR,CHL,DAYS0-27,BTSX,0.1,0.0692
2013,AMR,CHL,DAYS0-27,BTSX,0,0
2001,AMR,CHL,DAYS0-27,BTSX,0.1,0.07859
2011,AMR,CHL,DAYS0-27,BTSX,0,0
2006,AMR,CHL,DAYS0-27,BTSX,0.1,0.08124
2005,AMR,CHL,DAYS0-27,BTSX,0,0
2004,AMR,CHL,DAYS0-27,BTSX,0.1,0.07761
2010,AMR,CHL,DAYS0-27,BTSX,0,0
2001,WPR,CHN,DAYS0-27,BTSX,0,0.02735
2013,WPR,CHN,DAYS0-27,BTSX,0.1,0.06032
2005,WPR,CHN,DAYS0-27,BTSX,0,0.03686
2006,WPR,CHN,DAYS0-27,BTSX,0,0.03817
2012,WPR,CHN,DAYS0-27,BTSX,0.1,0.05665
2010,WPR,CHN,DAYS0-27,BTSX,0,0.04966
2009,WPR,CHN,DAYS0-27,BTSX,0,0.04606
2002,WPR,CHN,DAYS0-27,BTSX,0,0.02931
2008,WPR,CHN,DAYS0-27,BTSX,0,0.0435
2000,WPR,CHN,DAYS0-27,BTSX,0,0.0261
2004,WPR,CHN,DAYS0-27,BTSX,0,0.03374
2007,WPR,CHN,DAYS0-27,BTSX,0,0.04092
2011,WPR,CHN,DAYS0-27,BTSX,0.1,0.05261
